DATO;PRISOMRÅDE;FORBRUKSGRUPPE;ANTALL_NORGESPRIS;ANTALL
2025-11-06;NO3;Hytter og fritidseiendommer;921;63032
2025-11-06;NO4;Husholdning;0;245305
2025-11-06;NO4;Hytter og fritidseiendommer;0;44600
2025-11-06;NO5;Husholdning;90825;258885
2025-11-06;NO5;Hytter og fritidseiendommer;28413;49220
2025-11-07;NO1;Husholdning;493716;1117640
2025-11-07;NO1;Hytter og fritidseiendommer;69854;110814
2025-11-07;NO2;Husholdning;369980;631053
2025-11-07;NO2;Hytter og fritidseiendommer;74574;106504
2025-11-07;NO3;Husholdning;831;408529
2025-11-07;NO3;Hytter og fritidseiendommer;932;63034
2025-11-07;NO4;Husholdning;0;245315
2025-11-07;NO4;Hytter og fritidseiendommer;0;44604
2025-11-07;NO5;Husholdning;91324;258890
2025-11-07;NO5;Hytter og fritidseiendommer;28477;49221
2025-11-08;NO1;Husholdning;495073;1117638
2025-11-08;NO1;Hytter og fritidseiendommer;69987;110814
2025-11-08;NO2;Husholdning;370876;631053
2025-11-08;NO2;Hytter og fritidseiendommer;74686;106504
2025-11-08;NO3;Husholdning;836;408529
2025-11-08;NO3;Hytter og fritidseiendommer;937;63034
2025-11-08;NO4;Husholdning;0;245317
2025-11-08;NO4;Hytter og fritidseiendommer;0;44602
2025-11-08;NO5;Husholdning;91728;258895
2025-11-08;NO5;Hytter og fritidseiendommer;28540;49219
2025-11-09;NO1;Husholdning;496912;1117638
2025-11-09;NO1;Hytter og fritidseiendommer;70123;110813
2025-11-09;NO2;Husholdning;372079;631051
2025-11-09;NO2;Hytter og fritidseiendommer;74807;106504
2025-11-09;NO3;Husholdning;851;408530
2025-11-09;NO3;Hytter og fritidseiendommer;946;63034
2025-11-09;NO4;Husholdning;0;245316
2025-11-09;NO4;Hytter og fritidseiendommer;0;44602
2025-11-09;NO5;Husholdning;92346;258893
2025-11-09;NO5;Hytter og fritidseiendommer;28636;49219
2025-11-10;NO1;Husholdning;500361;1117636
2025-11-10;NO1;Hytter og fritidseiendommer;70432;110818
2025-11-10;NO2;Husholdning;374099;631047
2025-11-10;NO2;Hytter og fritidseiendommer;75064;106504
2025-11-10;NO3;Husholdning;869;408532
2025-11-10;NO3;Hytter og fritidseiendommer;965;63034
2025-11-10;NO4;Husholdning;0;245324
2025-11-10;NO4;Hytter og fritidseiendommer;0;44605
2025-11-10;NO5;Husholdning;93356;258901
2025-11-10;NO5;Hytter og fritidseiendommer;28818;49220
2025-11-11;NO1;Husholdning;503487;1117647
2025-11-11;NO1;Hytter og fritidseiendommer;70677;110837
2025-11-11;NO2;Husholdning;375713;631072
2025-11-11;NO2;Hytter og fritidseiendommer;75257;106505
2025-11-11;NO3;Husholdning;889;408550
2025-11-11;NO3;Hytter og fritidseiendommer;977;63033
2025-11-11;NO4;Husholdning;0;245343
2025-11-11;NO4;Hytter og fritidseiendommer;0;44607
2025-11-11;NO5;Husholdning;94214;258904
2025-11-11;NO5;Hytter og fritidseiendommer;28982;49229
2025-11-12;NO1;Husholdning;505633;1117677
2025-11-12;NO1;Hytter og fritidseiendommer;70857;110843
2025-11-12;NO2;Husholdning;376851;631071
2025-11-12;NO2;Hytter og fritidseiendommer;75397;106503
2025-11-12;NO3;Husholdning;896;408568
2025-11-12;NO3;Hytter og fritidseiendommer;983;63037
2025-11-12;NO4;Husholdning;0;245347
2025-11-12;NO4;Hytter og fritidseiendommer;0;44608
2025-11-12;NO5;Husholdning;94877;258924
2025-11-12;NO5;Hytter og fritidseiendommer;29070;49229
2025-11-13;NO1;Husholdning;507763;1117690
2025-11-13;NO1;Hytter og fritidseiendommer;71025;110850
2025-11-13;NO2;Husholdning;378060;631084
2025-11-13;NO2;Hytter og fritidseiendommer;75550;106503
2025-11-13;NO3;Husholdning;902;408620
2025-11-13;NO3;Hytter og fritidseiendommer;989;63040
2025-11-13;NO4;Husholdning;0;245355
2025-11-13;NO4;Hytter og fritidseiendommer;0;44612
2025-11-13;NO5;Husholdning;95491;258927
2025-11-13;NO5;Hytter og fritidseiendommer;29178;49232
2025-11-14;NO1;Husholdning;509362;1117711
2025-11-14;NO1;Hytter og fritidseiendommer;71146;110852
2025-11-14;NO2;Husholdning;379115;631109
2025-11-14;NO2;Hytter og fritidseiendommer;75669;106510
2025-11-14;NO3;Husholdning;913;408636
2025-11-14;NO3;Hytter og fritidseiendommer;996;63039
2025-11-14;NO4;Husholdning;0;245359
2025-11-14;NO4;Hytter og fritidseiendommer;0;44612
2025-11-14;NO5;Husholdning;96041;258934
2025-11-14;NO5;Hytter og fritidseiendommer;29281;49233
2025-11-15;NO1;Husholdning;511053;1117718
2025-11-15;NO1;Hytter og fritidseiendommer;71279;110854
2025-11-15;NO2;Husholdning;380026;631105
2025-11-15;NO2;Hytter og fritidseiendommer;75779;106511
2025-11-15;NO3;Husholdning;922;408640
2025-11-15;NO3;Hytter og fritidseiendommer;999;63037
2025-11-15;NO4;Husholdning;0;245357
2025-11-15;NO4;Hytter og fritidseiendommer;0;44613
2025-11-15;NO5;Husholdning;96552;258933
2025-11-15;NO5;Hytter og fritidseiendommer;29364;49235
2025-11-16;NO1;Husholdning;513398;1117719
2025-11-16;NO1;Hytter og fritidseiendommer;71459;110854
2025-11-16;NO2;Husholdning;381224;631105
2025-11-16;NO2;Hytter og fritidseiendommer;75935;106511
2025-11-16;NO3;Husholdning;960;408643
2025-11-16;NO3;Hytter og fritidseiendommer;1023;63037
2025-11-16;NO4;Husholdning;0;245355
2025-11-16;NO4;Hytter og fritidseiendommer;0;44611
2025-11-16;NO5;Husholdning;97293;258934
2025-11-16;NO5;Hytter og fritidseiendommer;29483;49234
2025-11-17;NO1;Husholdning;516221;1117761
2025-11-17;NO1;Hytter og fritidseiendommer;71698;110858
2025-11-17;NO2;Husholdning;382659;631142
2025-11-17;NO2;Hytter og fritidseiendommer;76087;106512
2025-11-17;NO3;Husholdning;1207;408661
2025-11-17;NO3;Hytter og fritidseiendommer;1172;63039
2025-11-17;NO4;Husholdning;0;245356
2025-11-17;NO4;Hytter og fritidseiendommer;0;44610
2025-11-17;NO5;Husholdning;98243;258938
2025-11-17;NO5;Hytter og fritidseiendommer;29636;49236
2025-11-18;NO1;Husholdning;520440;1117788
2025-11-18;NO1;Hytter og fritidseiendommer;72021;110863
2025-11-18;NO2;Husholdning;384586;631159
2025-11-18;NO2;Hytter og fritidseiendommer;76299;106518
2025-11-18;NO3;Husholdning;1898;408690
2025-11-18;NO3;Hytter og fritidseiendommer;1549;63037
2025-11-18;NO4;Husholdning;0;245363
2025-11-18;NO4;Hytter og fritidseiendommer;0;44611
2025-11-18;NO5;Husholdning;99755;258940
2025-11-18;NO5;Hytter og fritidseiendommer;29814;49238
2025-11-19;NO1;Husholdning;524106;1117841
2025-11-19;NO1;Hytter og fritidseiendommer;72316;110872
2025-11-19;NO2;Husholdning;386482;631212
2025-11-19;NO2;Hytter og fritidseiendommer;76482;106531
2025-11-19;NO3;Husholdning;2581;408708
2025-11-19;NO3;Hytter og fritidseiendommer;1891;63033
2025-11-19;NO4;Husholdning;0;245364
2025-11-19;NO4;Hytter og fritidseiendommer;0;44612
2025-11-19;NO5;Husholdning;101150;258961
2025-11-19;NO5;Hytter og fritidseiendommer;30020;49237
2025-11-20;NO1;Husholdning;528250;1117935
2025-11-20;NO1;Hytter og fritidseiendommer;72625;110878
2025-11-20;NO2;Husholdning;388619;631255
2025-11-20;NO2;Hytter og fritidseiendommer;76682;106537
2025-11-20;NO3;Husholdning;3092;408728
2025-11-20;NO3;Hytter og fritidseiendommer;2223;63034
2025-11-20;NO4;Husholdning;0;245378
2025-11-20;NO4;Hytter og fritidseiendommer;0;44611
2025-11-20;NO5;Husholdning;102424;258965
2025-11-20;NO5;Hytter og fritidseiendommer;30237;49238
2025-11-21;NO1;Husholdning;531170;1117977
2025-11-21;NO1;Hytter og fritidseiendommer;72841;110884
